DBN,School Name,Cohort Year,% Grads,% Total Regents of Cohort,% Advanced Regents of Cohort,% Dropout,% Asian Cohort,% Black Cohort,% Hispanic Cohort,% Native American Cohort,% Multi-Racial Cohort,% Female Cohort,% Male Cohort,% Econ Disadv Cohort,% Not Econ Disadv Cohort,% SWD Cohort,% Not SWD Cohort
01M292,ORCHARD COLLEGIATE ACADEMY,2017,90.8,90.8,12.3,0.0,9.2,26.2,60.0,1.5,1.5,53.8,46.2,78.5,21.5,30.8,69.2
01M292,ORCHARD COLLEGIATE ACADEMY,2016,93.5,93.5,29.0,3.2,22.6,35.5,29.0,0.0,3.2,51.6,48.4,83.9,16.1,22.6,77.4
01M292,ORCHARD COLLEGIATE ACADEMY,2015,89.3,78.6,7.1,10.7,10.7,21.4,64.3,0.0,0.0,35.7,64.3,82.1,17.9,28.6,71.4
01M292,ORCHARD COLLEGIATE ACADEMY,2014,86.2,75.9,0.0,3.4,10.3,20.7,65.5,0.0,0.0,20.7,79.3,93.1,6.9,27.6,72.4
01M292,ORCHARD COLLEGIATE ACADEMY,2013,66.7,63.9,0.0,19.4,25.0,16.7,52.8,0.0,0.0,58.3,41.7,91.7,8.3,33.3,66.7
01M292,ORCHARD COLLEGIATE ACADEMY,2012,52.3,43.2,2.3,22.7,11.4,15.9,63.6,0.0,2.3,34.1,65.9,88.6,11.4,29.5,70.5
01M292,ORCHARD COLLEGIATE ACADEMY,2011,63.0,56.2,0.0,9.6,13.7,32.9,47.9,2.7,2.7,31.5,68.5,83.6,16.4,27.4,72.6
01M292,ORCHARD COLLEGIATE ACADEMY,2010,39.3,39.3,1.6,27.9,16.4,18.0,62.3,1.6,1.6,55.7,44.3,80.3,19.7,23.0,77.0
01M292,ORCHARD COLLEGIATE ACADEMY,2009,55.3,49.4,0.0,9.4,10.6,29.4,57.6,0.0,0.0,32.9,67.1,88.2,11.8,18.8,81.2
01M292,ORCHARD COLLEGIATE ACADEMY,2008,50.0,41.4,0.0,18.6,12.9,32.9,52.9,0.0,0.0,47.1,52.9,62.9,37.1,20.0,80.0
01M292,ORCHARD COLLEGIATE ACADEMY,2007,53.2,36.4,0.0,6.5,9.1,23.4,64.9,0.0,0.0,39.0,61.0,88.3,11.7,27.3,72.7
01M292,ORCHARD COLLEGIATE ACADEMY,2006,55.1,46.2,0.0,14.1,11.5,30.8,53.8,0.0,1.3,43.6,56.4,65.4,34.6,23.1,76.9
01M292,ORCHARD COLLEGIATE ACADEMY,2005,67.2,42.2,0.0,14.1,12.5,32.8,48.4,0.0,0.0,39.1,60.9,75.0,25.0,23.4,76.6
01M292,ORCHARD COLLEGIATE ACADEMY,2004,67.3,30.9,0.0,5.5,18.2,41.8,36.4,1.8,0.0,50.9,49.1,98.2,1.8,16.4,83.6
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2017,98.5,98.5,53.0,1.5,29.1,17.2,46.3,0.7,1.5,38.8,61.2,89.6,10.4,17.2,82.8
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2016,96.1,96.1,57.0,3.9,34.4,19.5,43.0,0.8,0.0,43.0,57.0,87.5,12.5,17.2,82.8
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2015,92.9,79.8,18.2,4.0,32.3,27.3,36.4,0.0,0.0,48.5,51.5,84.8,15.2,15.2,84.8
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2014,93.2,83.0,22.7,3.4,26.1,21.6,47.7,1.1,1.1,43.2,56.8,87.5,12.5,14.8,85.2
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2013,89.7,82.1,25.6,9.0,32.1,24.4,39.7,1.3,0.0,38.5,61.5,92.3,7.7,21.8,78.2
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2012,75.8,69.7,16.7,21.2,28.8,27.3,37.9,1.5,0.0,42.4,57.6,86.4,13.6,25.8,74.2
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2011,82.9,70.7,15.9,9.8,56.1,11.0,30.5,0.0,0.0,32.9,67.1,90.2,9.8,22.0,78.0
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2010,78.9,64.8,4.2,15.5,22.5,25.4,49.3,0.0,0.0,47.9,52.1,88.7,11.3,21.1,78.9
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2009,73.9,56.8,6.8,10.2,18.2,31.8,46.6,0.0,0.0,44.3,55.7,83.0,17.0,27.3,72.7
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2008,66.7,62.5,8.3,7.5,20.8,28.3,47.5,0.0,0.0,46.7,53.3,78.3,21.7,16.7,83.3
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,66.0,51.3,11.3,11.3,23.3,21.3,48.7,0.0,0.0,41.3,58.7,74.7,25.3,28.0,72.0
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,42.7,33.9,6.5,16.1,16.9,21.0,51.6,0.8,4.8,52.4,47.6,71.0,29.0,20.2,79.8
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,52.9,28.9,3.3,9.1,19.0,15.7,52.9,0.0,8.3,48.8,51.2,70.2,29.8,18.2,81.8
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,67.0,32.1,5.4,3.6,37.5,14.3,43.8,0.9,1.8,60.7,39.3,73.2,26.8,17.0,83.0
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,77.0,44.8,12.6,12.6,34.5,9.2,50.6,0.0,0.0,51.7,48.3,95.4,4.6,9.2,90.8
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2002,63.5,36.5,15.4,1.9,38.5,9.6,46.2,0.0,0.0,55.8,44.2,98.1,1.9,9.6,90.4
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2001,71.9,50.0,10.9,9.4,35.9,6.2,46.9,1.6,0.0,42.2,57.8,98.4,1.6,10.9,89.1
