DBN,School Name,Cohort Year,Econ Disadv # Total Cohort,Econ Disadv # Grads,Econ Disadv % Grads,Econ Disadv # Total Regents,Econ Disadv % Total Regents of Cohort,Econ Disadv # Advanced Regents,Econ Disadv % Advanced Regents of Cohort,Econ Disadv # Dropout,Econ Disadv % Dropout,Not Econ Disadv # Total Cohort,Not Econ Disadv # Grads,Not Econ Disadv % Grads,Not Econ Disadv # Total Regents,Not Econ Disadv % Total Regents of Cohort,Not Econ Disadv # Advanced Regents,Not Econ Disadv % Advanced Regents of Cohort,Not Econ Disadv # Dropout,Not Econ Disadv % Dropout
01M292,ORCHARD COLLEGIATE ACADEMY,2017,51.0,47,92.2,47,92.2,6,11.8,0,0.0,14.0,12,85.7,12,85.7,2,14.3,0,0.0
01M292,ORCHARD COLLEGIATE ACADEMY,2016,26.0,s,s,s,s,s,s,s,s,5.0,s,s,s,s,s,s,s,s
01M292,ORCHARD COLLEGIATE ACADEMY,2015,23.0,s,s,s,s,s,s,s,s,5.0,s,s,s,s,s,s,s,s
01M292,ORCHARD COLLEGIATE ACADEMY,2014,27.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s
01M292,ORCHARD COLLEGIATE ACADEMY,2013,33.0,s,s,s,s,s,s,s,s,3.0,s,s,s,s,s,s,s,s
01M292,ORCHARD COLLEGIATE ACADEMY,2012,39.0,s,s,s,s,s,s,s,s,5.0,s,s,s,s,s,s,s,s
01M292,ORCHARD COLLEGIATE ACADEMY,2011,61.0,36,59.0,33,54.1,0,0.0,7,11.5,12.0,10,83.3,8,66.7,0,0.0,0,0.0
01M292,ORCHARD COLLEGIATE ACADEMY,2010,49.0,18,36.7,18,36.7,1,2.0,14,28.6,12.0,6,50.0,6,50.0,0,0.0,3,25.0
01M292,ORCHARD COLLEGIATE ACADEMY,2009,75.0,39,52.0,35,46.7,0,0.0,8,10.7,10.0,8,80.0,7,70.0,0,0.0,0,0.0
01M292,ORCHARD COLLEGIATE ACADEMY,2008,44.0,20,45.5,16,36.4,0,0.0,6,13.6,26.0,15,57.7,13,50.0,0,0.0,7,26.9
01M292,ORCHARD COLLEGIATE ACADEMY,2007,68.0,37,54.4,25,36.8,0,0.0,2,2.9,9.0,4,44.4,3,33.3,0,0.0,3,33.3
01M292,ORCHARD COLLEGIATE ACADEMY,2006,51.0,32,62.7,27,52.9,0,0.0,6,11.8,27.0,11,40.7,9,33.3,0,0.0,5,18.5
01M292,ORCHARD COLLEGIATE ACADEMY,2005,48.0,33,68.8,20,41.7,0,0.0,6,12.5,16.0,10,62.5,7,43.8,0,0.0,3,18.8
01M292,ORCHARD COLLEGIATE ACADEMY,2004,54.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s
01M292,ORCHARD COLLEGIATE ACADEMY,2003,5.0,s,s,s,s,s,s,s,s,,,,,,,,,
