# Total Cohort,# Grads,# Total Regents,# Advanced Regents,# Dropout,# Female,# Male,# White,# Black,# Asian,# Hispanic,# Native American,# Multi-Racial,# Econ Disadv,# Not Econ Disadv,# SWD,# Not SWD
529,370,306,68,26,338,191,32,147,16,329,1,4,440,89,187,342
2294,1243,802,97,400,161,2133,59,1347,38,825,15,10,1624,670,601,1693
5206,3690,3433,916,386,2750,2456,69,1705,206,3187,15,24,3904,1302,447,4759
9655,5920,5262,1069,1370,4137,5518,2617,3274,1612,2067,51,34,6645,3010,1181,8474
1195,1167,1122,440,5,586,609,235,188,71,658,8,35,738,457,215,980
922,603,559,81,90,393,529,17,806,7,84,6,2,657,265,135,787
708,539,503,43,52,293,415,28,578,20,66,14,2,543,165,123,585
1034,694,543,59,139,513,521,14,200,21,796,2,1,872,162,176,858
562,421,391,8,38,401,161,7,467,17,58,1,12,473,89,79,483
846,755,725,88,40,398,448,0,2,0,844,0,0,802,44,47,799
1117,733,624,56,140,538,579,21,710,26,348,10,2,811,306,205,912
414,198,153,9,32,197,192,5,205,3,164,0,1,318,96,93,321
667,601,569,0,14,134,533,66,170,66,344,3,18,446,221,161,506
933,768,646,1,49,629,304,21,623,6,271,4,8,696,237,137,796
3126,2825,2768,1556,45,1832,1294,967,222,909,1016,0,12,2011,1115,191,2935
27,12,12,0,5,0,27,0,23,1,3,0,0,27,0,7,20
680,331,183,7,105,306,374,7,216,14,441,2,0,461,219,92,588
1628,1502,1494,870,16,855,773,245,124,351,876,14,18,1286,342,157,1471
773,500,448,25,69,389,384,18,642,16,93,4,0,646,127,128,645
987,713,645,93,57,237,750,26,406,65,469,8,13,795,192,208,779
918,620,579,36,78,505,413,25,436,71,366,13,7,677,241,121,797
1970,1274,1012,49,206,979,991,25,1606,24,298,13,4,1636,334,349,1621
2518,721,323,6,686,1290,1228,24,918,63,1500,8,5,1862,656,501,2017
7,0,0,0,5,3,0,1,3,0,3,0,0,3,4,1,2
2894,1463,1038,180,587,292,2602,27,924,46,1886,8,3,2356,538,647,2247
635,598,543,216,5,319,316,13,102,25,492,1,2,570,65,66,569
479,305,278,13,61,235,244,5,117,29,322,6,0,335,144,112,367
693,410,363,13,69,242,451,17,209,53,410,3,1,549,144,165,528
5295,4070,3618,1036,205,2795,2500,667,1294,398,2822,25,89,3203,2092,749,4546
427,245,212,0,45,221,206,1,286,0,33,2,1,298,129,80,347
1113,147,139,0,190,719,394,17,415,9,664,6,2,926,187,174,939
1190,154,115,1,249,633,557,9,911,16,242,11,1,979,211,182,1008
1606,1133,943,106,98,712,894,163,611,100,706,13,13,1254,352,303,1303
3887,1767,1067,65,698,1704,2183,63,3112,224,431,41,16,2460,1427,664,3223
7516,6284,5950,3111,98,1203,6313,825,511,2078,3950,39,113,4958,2558,589,6927
1093,1067,1049,555,2,636,457,350,87,372,268,5,11,633,460,26,1067
2230,2134,2131,1,10,1481,749,1004,387,405,369,3,62,724,1506,35,2195
1624,1586,1586,1,1,1008,616,528,215,537,314,7,23,730,894,22,1602
1811,1794,1754,995,2,1091,720,492,105,963,233,1,17,1044,767,109,1702
3084,1296,587,138,624,1550,1534,115,750,474,1723,15,7,2411,673,384,2700
14183,12065,11497,6387,577,7202,6981,2846,2096,6093,3010,91,47,8749,5434,1422,12761
3816,1699,899,100,722,1724,2092,480,1980,131,1201,23,1,3719,97,643,3173
4856,4640,4437,0,34,2969,1887,2480,764,383,1078,25,126,1214,3642,280,4576
1324,1275,1249,534,10,718,606,15,1148,23,103,13,22,885,439,78,1246
806,204,112,0,120,487,300,5,664,3,107,8,0,654,152,42,764
1467,969,866,212,148,794,673,22,434,39,964,4,4,1267,200,252,1215
3393,3139,3024,1108,51,1941,1452,31,2878,101,327,29,27,2043,1350,174,3219
374,318,293,12,19,132,242,7,231,57,57,19,3,322,52,65,309
16225,13518,12738,6572,690,8604,7621,2927,3105,7336,2729,70,58,6742,9483,1335,14890
7206,3004,2137,151,1078,3208,3998,62,6444,55,570,47,28,4400,2806,1383,5823
1180,465,341,4,235,603,577,3,617,3,552,3,2,832,348,244,936
477,316,305,6,21,95,382,15,135,35,284,5,3,328,149,130,347
1154,193,64,0,167,635,508,6,479,8,579,6,1,920,234,116,1038
1498,1046,920,128,163,1023,475,22,766,60,634,10,6,1202,296,275,1223
1309,968,701,24,141,281,1028,24,441,44,787,3,10,1069,240,327,982
630,71,65,3,63,354,276,15,216,10,384,3,2,534,96,69,561
677,435,406,33,75,322,355,18,38,65,545,11,0,539,138,79,598
724,364,325,30,145,371,353,6,278,11,423,3,3,621,103,196,528
1378,1196,1149,538,38,746,632,19,341,94,912,8,4,1192,186,173,1205
659,295,166,2,135,209,450,7,242,12,395,2,1,522,137,137,522
620,376,371,0,46,291,329,26,175,13,394,5,7,508,112,126,494
1296,763,648,85,226,632,664,11,378,18,878,9,2,1100,196,276,1020
1142,126,90,1,238,611,531,23,393,22,696,7,1,971,171,137,1005
618,414,374,5,64,218,400,13,199,21,377,2,6,468,150,163,455
805,451,396,39,151,138,667,15,204,9,568,8,1,708,97,211,594
585,528,483,83,4,296,289,7,169,23,383,3,0,474,111,77,508
1267,860,770,121,129,249,1018,21,401,66,768,7,4,1093,174,256,1011
654,457,399,50,81,385,269,12,231,13,391,6,1,558,96,142,512
820,87,63,0,131,461,359,6,251,11,550,2,0,703,117,174,646
871,823,804,199,16,551,320,19,469,57,305,13,8,680,191,36,835
1527,985,827,56,208,859,668,22,515,24,951,7,8,1293,234,312,1215
1241,1029,905,151,45,786,455,10,480,102,632,14,3,937,304,103,1138
1615,963,784,49,185,722,893,114,524,41,925,5,6,1241,374,388,1227
1390,855,692,12,214,771,619,30,690,36,616,14,4,1113,277,260,1130
1391,653,561,78,239,646,745,12,455,24,887,7,6,1139,252,284,1107
1420,936,766,1,80,748,672,38,304,36,1035,5,2,1328,92,90,1330
1400,886,755,2,131,609,791,28,561,35,760,11,5,1130,270,238,1162
707,626,586,236,35,352,355,4,158,8,536,0,1,660,47,157,550
2668,1647,1236,67,379,1467,1201,36,1055,24,1508,19,26,2341,327,537,2131
1773,1168,991,152,212,835,938,13,661,28,1052,6,13,1610,163,418,1355
1871,272,147,3,299,1129,742,20,777,22,1042,5,5,1561,310,243,1628
508,372,341,23,62,238,270,36,123,29,306,14,0,379,129,115,393
1843,1377,1193,156,132,1081,762,29,594,34,1169,7,10,1585,258,277,1566
1453,968,840,74,204,727,726,38,436,22,850,3,4,1214,239,230,1223
672,441,414,7,84,376,296,6,139,8,516,2,1,553,119,133,539
1361,934,780,49,168,935,426,37,424,9,885,4,2,1123,238,230,1131
748,592,513,48,43,355,393,63,222,28,425,8,2,625,123,162,586
1330,205,118,2,154,741,589,15,1081,5,211,16,2,1120,210,205,1125
1651,1096,967,125,103,725,926,24,1378,54,183,8,4,1284,367,204,1447
1225,176,130,0,165,572,653,25,1050,22,118,8,2,938,287,220,1005
1141,993,967,0,53,577,564,113,455,53,511,5,4,808,333,306,835
2212,2103,1941,763,16,1361,722,96,1592,125,205,12,53,1111,972,108,2104
1086,721,614,52,74,511,575,6,940,16,112,11,1,903,183,199,887
1175,801,716,13,109,643,532,11,921,9,218,13,3,937,238,241,934
729,430,397,14,101,287,442,16,628,11,63,8,3,531,198,137,592
236,16,1,0,13,115,112,0,9,0,3,0,0,60,92,16,220
966,153,108,0,140,482,484,8,799,11,135,13,0,709,257,194,772
522,127,105,0,157,244,278,10,350,11,147,3,1,447,75,224,298
2020,1311,1082,98,191,958,1062,25,1454,37,477,10,17,1615,405,368,1652
922,80,53,0,195,475,447,21,641,8,242,7,3,759,163,153,769
2803,2142,1822,287,54,1887,916,74,2036,59,585,14,35,1864,939,261,2542
543,503,453,5,8,284,259,2,489,11,36,5,0,465,78,100,443
1482,1171,1004,0,103,747,735,178,303,516,485,0,0,1263,219,23,1459
890,523,425,31,128,369,521,19,275,69,515,10,2,731,159,172,718
1467,1416,1416,731,7,680,787,192,287,623,223,9,133,959,508,30,1437
1427,1197,1044,11,45,787,640,25,823,29,535,10,5,1158,269,241,1186
1208,896,733,67,74,855,353,13,1016,9,160,6,4,1007,201,167,1041
2594,1839,1645,451,243,1306,1288,1505,200,320,558,5,6,1908,686,532,2062
20534,19218,19216,17698,79,8537,11997,4582,2064,11960,1583,54,291,12415,8119,219,20315
888,578,550,2,77,521,367,18,750,4,99,9,8,724,164,148,740
1246,218,164,0,153,738,508,10,1040,10,156,14,16,1029,217,147,1099
2030,189,108,0,554,1061,969,21,723,8,1272,6,0,1810,220,321,1709
666,265,54,0,216,286,380,5,151,10,497,3,0,348,318,159,507
1384,859,566,61,148,681,703,8,248,14,1111,1,2,1270,114,261,1123
1087,497,373,29,146,379,708,15,926,47,78,14,7,513,574,162,925
815,594,525,45,58,277,538,17,293,15,484,6,0,576,239,189,626
418,389,362,88,5,134,284,32,164,110,80,13,19,300,118,55,363
692,540,477,6,21,353,339,8,536,68,61,13,6,526,166,115,577
3655,1285,557,56,622,1500,1908,78,2875,57,384,9,5,1050,2358,596,2812
1799,1283,1041,52,157,409,1390,22,496,10,1255,10,6,1506,293,354,1445
1726,562,414,1,225,1021,705,60,644,62,943,10,7,1378,348,182,1544
1298,1077,959,223,42,796,502,22,340,15,898,4,19,1064,234,147,1151
1565,1304,1147,301,77,965,600,51,470,129,902,10,3,1322,243,225,1340
