Index,School / Cohort,Class,% Grads,% Total Regents of Cohort,% Advanced Regents of Cohort,% Dropout,PC 1,PC 2,PC 3
01M292-2017,ORCHARD COLLEGIATE ACADEMY - 2017,1,90.8,90.8,12.3,0,-1.755281793,-0.789543614,0.184788743
01M292-2016,ORCHARD COLLEGIATE ACADEMY - 2016,0,93.5,93.5,29,3.2,-2.045773191,0.036803809,0.303770356
01M292-2015,ORCHARD COLLEGIATE ACADEMY - 2015,1,89.3,78.6,7.1,10.7,-0.835871577,-0.435611114,0.88108178
01M292-2014,ORCHARD COLLEGIATE ACADEMY - 2014,1,86.2,75.9,0,3.4,-0.933104526,-1.060229076,0.300645062
01M292-2013,ORCHARD COLLEGIATE ACADEMY - 2013,1,66.7,63.9,0,19.4,0.550268544,-0.095551689,1.049844019
01M292-2012,ORCHARD COLLEGIATE ACADEMY - 2012,2,52.3,43.2,2.3,22.7,1.414717559,0.326510407,0.702973212
01M292-2011,ORCHARD COLLEGIATE ACADEMY - 2011,1,63,56.2,0,9.6,0.301112707,-0.528813005,0.083938906
01M292-2010,ORCHARD COLLEGIATE ACADEMY - 2010,2,39.3,39.3,1.6,27.9,2.061700671,0.660364179,0.844256509
01M292-2009,ORCHARD COLLEGIATE ACADEMY - 2009,1,55.3,49.4,0,9.4,0.603376862,-0.462742076,-0.171619669
01M292-2008,ORCHARD COLLEGIATE ACADEMY - 2008,2,50,41.4,0,18.6,1.344729579,0.051015075,0.340315762
01M292-2007,ORCHARD COLLEGIATE ACADEMY - 2007,1,53.2,36.4,0,6.5,0.769794873,-0.554050009,-0.648784976
01M292-2006,ORCHARD COLLEGIATE ACADEMY - 2006,2,55.1,46.2,0,14.1,0.907341985,-0.221354741,0.146357113
01M292-2005,ORCHARD COLLEGIATE ACADEMY - 2005,1,67.2,42.2,0,14.1,0.714437611,-0.300322692,0.283959939
01M292-2004,ORCHARD COLLEGIATE ACADEMY - 2004,1,67.3,30.9,0,5.5,0.512108892,-0.692941622,-0.581539403
01M448-2017,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2017,0,98.5,98.5,53,1.5,-2.825648526,0.903235578,0.01131322
01M448-2016,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2016,0,96.1,96.1,57,3.9,-2.682937592,1.212501614,0.068966907
01M448-2015,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2015,1,92.9,79.8,18.2,4,-1.498287929,-0.332204702,0.279442194
01M448-2014,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2014,1,93.2,83,22.7,3.4,-1.689988231,-0.185050444,0.228405442
01M448-2013,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2013,1,89.7,82.1,25.6,9,-1.37106591,0.239755595,0.561063867
01M448-2012,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2012,1,75.8,69.7,16.7,21.2,-0.017875027,0.605867186,1.215267932
01M448-2011,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2011,1,82.9,70.7,15.9,9.8,-0.751834193,-0.043601851,0.455521256
01M448-2010,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2010,1,78.9,64.8,4.2,15.5,-0.022956977,-0.205329996,0.902578837
01M448-2009,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2009,1,73.9,56.8,6.8,10.2,-0.064065724,-0.298389076,0.23259108
01M448-2008,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2008,1,66.7,62.5,8.3,7.5,-0.181362581,-0.330724398,-0.029926016
