School_Names,lat,lng
ORCHARD COLLEGIATE ACADEMY,40.7134455,-73.9860332
UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,40.7121857,-73.9842031
EAST SIDE COMMUNITY SCHOOL,40.7291086,-73.98252769999999
FORSYTH SATELLITE ACADEMY,40.7221984,-73.9907155
MARTA VALLE HIGH SCHOOL,40.7201995,-73.9860534
LOWER EAST SIDE PREPARATORY HIGH SCHOOL,40.720088,-73.9860332
"NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",40.7195551,-73.9791599
CASCADES HIGH SCHOOL,40.7221756,-73.99063199999999
BARD HIGH SCHOOL EARLY COLLEGE,40.7183927,-73.9758609
47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL,40.7387769,-73.9814014
THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,40.7110316,-74.0013216
STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HIGH SCHOOL,40.76399929999999,-73.9908346
THE CLINTON SCHOOL,40.7363036,-73.99243799999999
MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,40.7112769,-74.00118379999999
URBAN ASSEMBLY MAKER ACADEMY,40.7109122,-74.001774
FOOD AND FINANCE HIGH SCHOOL,40.7653073,-73.9922821
ESSEX STREET ACADEMY,40.717876,-73.98873309999999
HIGH SCHOOL OF HOSPITALITY MANAGEMENT,40.7654144,-73.9932508
PACE HIGH SCHOOL,40.7161208,-73.99405279999999
"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",40.765536,-73.993163
"FACING HISTORY SCHOOL, THE",40.7652264,-73.99280159999999
"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",40.7173735,-73.98946409999999
LOWER MANHATTAN ARTS ACADEMY,40.717149,-73.9895797
"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",40.7432281,-74.002426
"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",40.7054423,-74.01288819999999
GRAMERCY ARTS HIGH SCHOOL,40.7354278,-73.9872741
NYC ISCHOOL,40.7247073,-74.00501779999999
MANHATTAN BUSINESS ACADEMY,40.743132,-74.00249579999999
BUSINESS OF SPORTS SCHOOL,40.7638592,-73.99035429999999
EMMA LAZARUS HIGH SCHOOL,40.71651869999999,-73.993222
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,40.7354158,-73.98723489999999
HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,40.767972,-73.9881832
INSTITUTE FOR COLLABORATIVE EDUCATION,40.7326687,-73.9825816
PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,40.761226,-73.9886092
BARUCH COLLEGE CAMPUS HIGH SCHOOL,40.7418014,-73.98595619999999
N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,40.7424197,-74.0026322
SCHOOL OF THE FUTURE HIGH SCHOOL,39.9753756,-75.2033601
N.Y.C. MUSEUM SCHOOL,40.7424285,-74.00265329999999
ELEANOR ROOSEVELT HIGH SCHOOL,40.7702619,-73.9533328
MILLENNIUM HIGH SCHOOL,40.7046172,-74.01123249999999
LANDMARK HIGH SCHOOL,40.7432281,-74.002426
HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,40.7325522,-73.98267229999999
QUEST TO LEARN,40.74313050000001,-74.0025192
LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,40.70902419999999,-74.0123569
MANHATTAN ACADEMY FOR ARTS & LANGUAGE,40.7463061,-73.9811402
LEGACY SCHOOL FOR INTEGRATED STUDIES,40.7361516,-73.9958022
MURRAY HILL ACADEMY,40.74642130000001,-73.9811631
HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,40.7432238,-74.0024232
INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,40.735446,-73.9873416
MANHATTAN VILLAGE ACADEMY,40.7419471,-73.9922881
BAYARD RUSTIN EDUCATIONAL COMPLEX,40.7435786,-74.0026279
SEWARD PARK HS,40.7172358,-73.98933989999999
VANGUARD HIGH SCHOOL,40.7653683,-73.9596962
MANHATTAN INTERNATIONAL HIGH SCHOOL,40.7656305,-73.9592411
WASHINGTON IRVING HS,40.7354677,-73.987393
STUYVESANT HIGH SCHOOL,40.7178149,-74.0138422
HIGH SCHOOL OF ECONOMICS AND FINANCE,40.7091844,-74.0122153
UNITY CENTER FOR URBAN TECHNOLOGIES,40.74642130000001,-73.9811631
URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,40.763701,-73.99061739999999
TALENT UNLIMITED HIGH SCHOOL,40.7659527,-73.96010509999999
MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,40.7113104,-74.0018829
JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,40.7577819,-73.98341649999999
REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,40.7560092,-73.9845362
UNION SQUARE ACADEMY FOR HEALTH SCIENCES,40.7354911,-73.9874171
HARVEST COLLEGIATE HIGH SCHOOL,40.7361513,-73.99580139999999
PARK WEST HS,40.7653419,-73.9930778
MANHATTAN BRIDGES HIGH SCHOOL,40.7652101,-73.9927627
NEW DESIGN HIGH SCHOOL,40.71724620000001,-73.98937289999999
INDEPENDENCE HIGH SCHOOL,40.7391052,-74.2141603
HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,40.7173573,-73.9894724
ACADEMY FOR SOFTWARE ENGINEERING,40.735543,-73.987478
LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,40.7418275,-74.00024619999999
URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,40.690387,-74.02052599999999
HIGH SCHOOL M560 - CITY AS SCHOOL,40.7291147,-74.0061546
URBAN ACADEMY LABORATORY HIGH SCHOOL,40.7653683,-73.9596962
SATELLITE ACADEMY HIGH SCHOOL,40.7475241,-73.990437
MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,40.7326871,-73.9843369
RICHARD R. GREEN HIGH SCHOOL OF TEACHING,40.7050989,-74.0128466
HARVEY MILK HIGH SCHOOL,40.7298791,-73.99258309999999
THE HIGH SCHOOL OF FASHION INDUSTRIES,40.7454641,-73.9965141
HUMANITIES PREPARATORY ACADEMY,40.7431615,-74.0025033
CHELSEA CAREER AND TECHNICAL EDUCATION HIGH SCHOOL,40.7247073,-74.00501779999999
NORMAN THOMAS HS,40.7463214,-73.9811295
HS OF GRAPHIC COMMUNICATION ARTS,40.7639856,-73.9903637
ART AND DESIGN HIGH SCHOOL,40.759375,-73.966293
THE HIGH SCHOOL FOR CLIMATE JUSTICE,40.767972,-73.9881832
SCHOOL FOR THE PHYSICAL CITY,40.7361554,-73.99581119999999
MANHATTAN THEATRE LAB HS,40.7747617,-73.9846771
THE MAXINE GREENE HS FOR IMAGINATIVE INQUIRY,40.7746699,-73.9857955
"URBAN ASSEMBLY SCHOOL FOR MEDIA STUDIES, THE",40.7746699,-73.9857955
THE URBAN ASSEMBLY SCHOOL FOR GREEN CAREERS,40.785994,-73.97417
THE GLOBAL LEARNING COLLABORATIVE,40.7859664,-73.974391
INNOVATION DIPLOMA PLUS,40.78567290000001,-73.9740479
WADLEIGH SECONDARY SCHOOL FOR THE PERFORMING & VISUAL ARTS,40.8025923,-73.9544319
FRANK MCCOURT HIGH SCHOOL,40.785861,-73.9745414
LOUIS D BRANDEIS HS,40.7860105,-73.9740956
BEACON HIGH SCHOOL,40.76147820000001,-73.9960638
FIORELLO H. LAGUARDIA HIGH SCHOOL OF MUSIC & ART AND PERFORMING ARTS,40.7741856,-73.9851211
MARTIN LUTHER KING JR ACADEMY,40.2310507,-74.7579409
"HIGH SCHOOL FOR LAW, ADVOCACY AND COMMUNITY JUSTICE",40.7747617,-73.9846771
HIGH SCHOOL OF ARTS AND TECHNOLOGY,40.7753897,-73.9860564
EDWARD A. REYNOLDS WEST SIDE HIGH SCHOOL,40.7972732,-73.96668799999999
MANHATTAN / HUNTER SCIENCE HIGH SCHOOL,40.7746651,-73.98578429999999
SPECIAL MUSIC SCHOOL,40.77520639999999,-73.9831573
FREDERICK DOUGLASS ACADEMY II SECONDARY SCHOOL,40.8025691,-73.95412139999999
THE JUDITH S. KAYE SCHOOL,40.7838848,-73.9451078
