Index,School / Cohort
01M292-2017,ORCHARD COLLEGIATE ACADEMY - 2017
01M292-2016,ORCHARD COLLEGIATE ACADEMY - 2016
01M292-2015,ORCHARD COLLEGIATE ACADEMY - 2015
01M292-2014,ORCHARD COLLEGIATE ACADEMY - 2014
01M292-2013,ORCHARD COLLEGIATE ACADEMY - 2013
01M292-2012,ORCHARD COLLEGIATE ACADEMY - 2012
01M292-2011,ORCHARD COLLEGIATE ACADEMY - 2011
01M292-2010,ORCHARD COLLEGIATE ACADEMY - 2010
01M292-2009,ORCHARD COLLEGIATE ACADEMY - 2009
01M292-2008,ORCHARD COLLEGIATE ACADEMY - 2008
01M292-2007,ORCHARD COLLEGIATE ACADEMY - 2007
01M292-2006,ORCHARD COLLEGIATE ACADEMY - 2006
01M292-2005,ORCHARD COLLEGIATE ACADEMY - 2005
01M292-2004,ORCHARD COLLEGIATE ACADEMY - 2004
01M448-2017,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2017
01M448-2016,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2016
01M448-2015,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2015
01M448-2014,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2014
01M448-2013,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2013
01M448-2012,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2012
01M448-2011,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2011
01M448-2010,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2010
01M448-2009,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2009
01M448-2008,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2008
01M448-2007,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2007
01M448-2006,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2006
01M448-2005,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2005
01M448-2004,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2004
01M448-2003,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2003
01M448-2002,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2002
01M448-2001,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL - 2001
01M450-2017,EAST SIDE COMMUNITY SCHOOL - 2017
01M450-2016,EAST SIDE COMMUNITY SCHOOL - 2016
01M450-2015,EAST SIDE COMMUNITY SCHOOL - 2015
01M450-2014,EAST SIDE COMMUNITY SCHOOL - 2014
01M450-2013,EAST SIDE COMMUNITY SCHOOL - 2013
01M450-2012,EAST SIDE COMMUNITY SCHOOL - 2012
01M450-2011,EAST SIDE COMMUNITY SCHOOL - 2011
01M450-2010,EAST SIDE COMMUNITY SCHOOL - 2010
01M450-2009,EAST SIDE COMMUNITY SCHOOL - 2009
01M450-2008,EAST SIDE COMMUNITY SCHOOL - 2008
01M450-2007,EAST SIDE COMMUNITY SCHOOL - 2007
01M450-2006,EAST SIDE COMMUNITY SCHOOL - 2006
01M450-2005,EAST SIDE COMMUNITY SCHOOL - 2005
01M450-2004,EAST SIDE COMMUNITY SCHOOL - 2004
01M450-2003,EAST SIDE COMMUNITY SCHOOL - 2003
01M450-2002,EAST SIDE COMMUNITY SCHOOL - 2002
01M450-2001,EAST SIDE COMMUNITY SCHOOL - 2001
01M458-2017,FORSYTH SATELLITE ACADEMY - 2017
01M458-2016,FORSYTH SATELLITE ACADEMY - 2016
01M458-2015,FORSYTH SATELLITE ACADEMY - 2015
01M458-2014,FORSYTH SATELLITE ACADEMY - 2014
01M458-2013,FORSYTH SATELLITE ACADEMY - 2013
01M458-2012,FORSYTH SATELLITE ACADEMY - 2012
01M458-2011,FORSYTH SATELLITE ACADEMY - 2011
01M458-2010,FORSYTH SATELLITE ACADEMY - 2010
01M458-2009,FORSYTH SATELLITE ACADEMY - 2009
01M458-2008,FORSYTH SATELLITE ACADEMY - 2008
01M458-2007,FORSYTH SATELLITE ACADEMY - 2007
01M509-2017,MARTA VALLE HIGH SCHOOL - 2017
01M509-2016,MARTA VALLE HIGH SCHOOL - 2016
01M509-2015,MARTA VALLE HIGH SCHOOL - 2015
01M509-2014,MARTA VALLE HIGH SCHOOL - 2014
01M509-2013,MARTA VALLE HIGH SCHOOL - 2013
01M509-2012,MARTA VALLE HIGH SCHOOL - 2012
01M509-2011,MARTA VALLE HIGH SCHOOL - 2011
01M509-2010,MARTA VALLE HIGH SCHOOL - 2010
01M509-2009,MARTA VALLE HIGH SCHOOL - 2009
01M509-2008,MARTA VALLE HIGH SCHOOL - 2008
01M509-2007,MARTA VALLE HIGH SCHOOL - 2007
01M509-2006,MARTA VALLE HIGH SCHOOL - 2006
01M509-2005,MARTA VALLE HIGH SCHOOL - 2005
01M509-2004,MARTA VALLE HIGH SCHOOL - 2004
01M509-2003,MARTA VALLE HIGH SCHOOL - 2003
01M509-2002,MARTA VALLE HIGH SCHOOL - 2002
01M509-2001,MARTA VALLE HIGH SCHOOL - 2001
01M515-2017,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2017
01M515-2016,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2016
01M515-2015,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2015
01M515-2014,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2014
01M515-2013,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2013
01M515-2012,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2012
01M515-2011,LOWER EAST SIDE PREPARATORY HIGH SCHOOL - 2011
