DBN,Cohort Year,# Total Cohort,# Grads,# Total Regents,# Advanced Regents,# Dropout,# Asian,# Black,# Hispanic,# White,# Native American,# Multi-Racial,# Female,# Male,# Econ Disadv,# Not Econ Disadv,# SWD,# Not SWD
01M292,2017,65,59,59,8,0,6,17,39,1,1,1,35,30,51,14,20,45
01M292,2016,31,29,29,9,1,7,11,9,3,0,1,16,15,26,5,7,24
01M292,2015,28,25,22,2,3,3,6,18,1,0,0,10,18,23,5,8,20
01M292,2014,29,25,22,0,1,3,6,19,1,0,0,6,23,27,2,8,21
01M292,2013,36,24,23,0,7,9,6,19,2,0,0,21,15,33,3,12,24
01M292,2012,44,23,19,1,10,5,7,28,3,0,1,15,29,39,5,13,31
01M292,2011,73,46,41,0,7,10,24,35,0,2,2,23,50,61,12,20,53
01M292,2010,61,24,24,1,17,10,11,38,0,1,1,34,27,49,12,14,47
01M292,2009,85,47,42,0,8,9,25,49,2,0,0,28,57,75,10,16,69
01M292,2008,70,35,29,0,13,9,23,37,1,0,0,33,37,44,26,14,56
01M292,2007,77,41,28,0,5,7,18,50,2,0,0,30,47,68,9,21,56
01M292,2006,78,43,36,0,11,9,24,42,2,0,1,34,44,51,27,18,60
01M292,2005,64,43,27,0,9,8,21,31,4,0,0,25,39,48,16,15,49
01M292,2004,55,37,17,0,3,10,23,20,1,1,0,28,27,54,1,9,46
01M448,2017,134,132,132,71,2,39,23,62,7,1,2,52,82,120,14,23,111
01M448,2016,128,123,123,73,5,44,25,55,3,1,0,55,73,112,16,22,106
01M448,2015,99,92,79,18,4,32,27,36,4,0,0,48,51,84,15,15,84
01M448,2014,88,82,73,20,3,23,19,42,2,1,1,38,50,77,11,13,75
01M448,2013,78,70,64,20,7,25,19,31,2,1,0,30,48,72,6,17,61
01M448,2012,66,50,46,11,14,19,18,25,3,1,0,28,38,57,9,17,49
01M448,2011,82,68,58,13,8,46,9,25,2,0,0,27,55,74,8,18,64
01M448,2010,71,56,46,3,11,16,18,35,2,0,0,34,37,63,8,15,56
01M448,2009,88,65,50,6,9,16,28,41,3,0,0,39,49,73,15,24,64
01M448,2008,120,80,75,10,9,25,34,57,4,0,0,56,64,94,26,20,100
01M448,2007,150,99,77,17,17,35,32,73,10,0,0,62,88,112,38,42,108
01M448,2006,124,53,42,8,20,21,26,64,6,1,6,65,59,88,36,25,99
01M448,2005,121,64,35,4,11,23,19,64,5,0,10,59,62,85,36,22,99
01M448,2004,112,75,36,6,4,42,16,49,2,1,2,68,44,82,30,19,93
01M448,2003,87,67,39,11,11,30,8,44,5,0,0,45,42,83,4,8,79
01M448,2002,52,33,19,8,1,20,5,24,3,0,0,29,23,51,1,5,47
01M448,2001,64,46,32,7,6,23,4,30,6,1,0,27,37,63,1,7,57
01M450,2017,79,73,73,0,0,9,13,48,7,2,0,37,42,55,24,14,65
