DBN,School Name,Cohort Year,Asian # Total Cohort,Asian # Grads,Asian % Grads,Asian # Total Regents,Asian % Total Regents of Cohort,Asian # Advanced Regents,Asian % Advanced Regents of Cohort,Asian # Dropout,Asian % Dropout,Black # Total Cohort,Black # Grads,Black % Grads,Black # Total Regents,Black % Total Regents of Cohort,Black # Advanced Regents,Black % Advanced Regents of Cohort,Black # Dropout,Black % Dropout,Hispanic # Total Cohort,Hispanic # Grads,Hispanic % Grads,Hispanic # Total Regents,Hispanic % Total Regents of Cohort,Hispanic # Advanced Regents,Hispanic % Advanced Regents of Cohort,Hispanic # Dropout,Hispanic % Dropout,White # Total Cohort,White # Grads,White % Grads,White # Total Regents,White % Total Regents of Cohort,White # Advanced Regents,White % Advanced Regents of Cohort,White # Dropout,White % Dropout,Native American # Total Cohort,Native American # Grads,Native American % Grads,Native American # Total Regents,Native American % Total Regents of Cohort,Native American # Advanced Regents,Native American % Advanced Regents of Cohort,Native American # Dropout,Native American % Dropout,Multi-Racial # Total Cohort,Multi-Racial # Grads,Multi-Racial % Grads,Multi-Racial # Total Regents,Multi-Racial % Total Regents of Cohort,Multi-Racial # Advanced Regents,Multi-Racial % Advanced Regents of Cohort,Multi-Racial # Dropout,Multi-Racial % Dropout
01M292,ORCHARD COLLEGIATE ACADEMY,2017,6.0,6,100,6,100,3,50,0,0,17.0,16,94.1,16,94.1,0,0,0,0,39.0,34,87.2,34,87.2,5,12.8,0,0,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s
01M292,ORCHARD COLLEGIATE ACADEMY,2016,7.0,6,85.7,6,85.7,3,42.9,1,14.3,11.0,10,90.9,10,90.9,4,36.4,0,0,9.0,9,100,9,100,0,0,0,0,3.0,s,s,s,s,s,s,s,s,,,,,,,,,,1.0,s,s,s,s,s,s,s,s
01M292,ORCHARD COLLEGIATE ACADEMY,2015,3.0,s,s,s,s,s,s,s,s,6.0,4,66.7,3,50,0,0,2,33.3,18.0,17,94.4,15,83.3,2,11.1,1,5.6,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
01M292,ORCHARD COLLEGIATE ACADEMY,2014,3.0,s,s,s,s,s,s,s,s,6.0,4,66.7,4,66.7,0,0,1,16.7,19.0,17,89.5,14,73.7,0,0,0,0,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
01M292,ORCHARD COLLEGIATE ACADEMY,2013,9.0,8,88.9,8,88.9,0,0,1,11.1,6.0,s,s,s,s,s,s,s,s,19.0,9,47.4,9,47.4,0,0,6,31.6,2.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
01M292,ORCHARD COLLEGIATE ACADEMY,2012,5.0,s,s,s,s,s,s,s,s,7.0,3,42.9,2,28.6,0,0,2,28.6,28.0,14,50,11,39.3,0,0,6,21.4,3.0,s,s,s,s,s,s,s,s,,,,,,,,,,1.0,s,s,s,s,s,s,s,s
01M292,ORCHARD COLLEGIATE ACADEMY,2011,10.0,6,60,6,60,0,0,0,0,24.0,16,66.7,14,58.3,0,0,3,12.5,35.0,22,62.9,19,54.3,0,0,3,8.6,,,,,,,,,,2.0,s,s,s,s,s,s,s,s,2.0,s,s,s,s,s,s,s,s
01M292,ORCHARD COLLEGIATE ACADEMY,2010,10.0,7,70,7,70,1,10,3,30,11.0,4,36.4,4,36.4,0,0,4,36.4,38.0,12,31.6,12,31.6,0,0,10,26.3,,,,,,,,,,1.0,s,s,s,s,s,s,s,s,1.0,s,s,s,s,s,s,s,s
01M292,ORCHARD COLLEGIATE ACADEMY,2009,9.0,s,s,s,s,s,s,s,s,25.0,16,64,14,56,0,0,1,4,49.0,25,51,23,46.9,0,0,7,14.3,2.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
01M292,ORCHARD COLLEGIATE ACADEMY,2008,9.0,s,s,s,s,s,s,s,s,23.0,15,65.2,11,47.8,0,0,3,13,37.0,14,37.8,12,32.4,0,0,9,24.3,1.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
01M292,ORCHARD COLLEGIATE ACADEMY,2007,7.0,s,s,s,s,s,s,s,s,18.0,10,55.6,4,22.2,0,0,1,5.6,50.0,24,48,19,38,0,0,4,8,2.0,s,s,s,s,s,s,s,s,,,,,,,,,,,,,,,,,,
