DBN,School Name,Cohort Year,SWD # Total Cohort,SWD # Grads,SWD % Grads,SWD # Total Regents,SWD % Total Regents of Cohort,SWD # Advanced Regents,SWD % Advanced Regents of Cohort,SWD # Dropout,SWD % Dropout,Not SWD # Total Cohort,Not SWD # Grads,Not SWD % Grads,Not SWD # Total Regents,Not SWD % Total Regents of Cohort,Not SWD # Advanced Regents,Not SWD % Advanced Regents of Cohort,Not SWD # Dropout,Not SWD % Dropout
01M292,ORCHARD COLLEGIATE ACADEMY,2017,20.0,16,80.0,16,80.0,0,0.0,0,0.0,45.0,43,95.6,43,95.6,8,17.8,0,0.0
01M292,ORCHARD COLLEGIATE ACADEMY,2016,7.0,6,85.7,6,85.7,0,0.0,1,14.3,24.0,23,95.8,23,95.8,9,37.5,0,0.0
01M292,ORCHARD COLLEGIATE ACADEMY,2015,8.0,8,100.0,5,62.5,0,0.0,0,0.0,20.0,17,85.0,17,85.0,2,10.0,3,15.0
01M292,ORCHARD COLLEGIATE ACADEMY,2014,8.0,6,75.0,3,37.5,0,0.0,1,12.5,21.0,19,90.5,19,90.5,0,0.0,0,0.0
01M292,ORCHARD COLLEGIATE ACADEMY,2013,12.0,5,41.7,4,33.3,0,0.0,3,25.0,24.0,19,79.2,19,79.2,0,0.0,4,16.7
01M292,ORCHARD COLLEGIATE ACADEMY,2012,13.0,5,38.5,2,15.4,0,0.0,3,23.1,31.0,18,58.1,17,54.8,1,3.2,7,22.6
01M292,ORCHARD COLLEGIATE ACADEMY,2011,20.0,7,35.0,3,15.0,0,0.0,4,20.0,53.0,39,73.6,38,71.7,0,0.0,3,5.7
01M292,ORCHARD COLLEGIATE ACADEMY,2010,14.0,0,0.0,0,0.0,0,0.0,5,35.7,47.0,24,51.1,24,51.1,1,2.1,12,25.5
01M292,ORCHARD COLLEGIATE ACADEMY,2009,16.0,6,37.5,1,6.3,0,0.0,3,18.8,69.0,41,59.4,41,59.4,0,0.0,5,7.2
01M292,ORCHARD COLLEGIATE ACADEMY,2008,14.0,8,57.1,3,21.4,0,0.0,3,21.4,56.0,27,48.2,26,46.4,0,0.0,10,17.9
01M292,ORCHARD COLLEGIATE ACADEMY,2007,21.0,10,47.6,4,19.0,0,0.0,1,4.8,56.0,31,55.4,24,42.9,0,0.0,4,7.1
01M292,ORCHARD COLLEGIATE ACADEMY,2006,18.0,5,27.8,3,16.7,0,0.0,4,22.2,60.0,38,63.3,33,55.0,0,0.0,7,11.7
01M292,ORCHARD COLLEGIATE ACADEMY,2005,15.0,7,46.7,3,20.0,0,0.0,4,26.7,49.0,36,73.5,24,49.0,0,0.0,5,10.2
01M292,ORCHARD COLLEGIATE ACADEMY,2004,9.0,6,66.7,2,22.2,0,0.0,0,0.0,46.0,31,67.4,15,32.6,0,0.0,3,6.5
01M292,ORCHARD COLLEGIATE ACADEMY,2003,2.0,s,s,s,s,s,s,s,s,3.0,s,s,s,s,s,s,s,s
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2017,23.0,23,100.0,23,100.0,9,39.1,0,0.0,111.0,109,98.2,109,98.2,62,55.9,2,1.8
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2016,22.0,20,90.9,20,90.9,7,31.8,2,9.1,106.0,103,97.2,103,97.2,66,62.3,3,2.8
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2015,15.0,13,86.7,3,20.0,0,0.0,1,6.7,84.0,79,94.0,76,90.5,18,21.4,3,3.6
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2014,13.0,11,84.6,4,30.8,1,7.7,0,0.0,75.0,71,94.7,69,92.0,19,25.3,3,4.0
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2013,17.0,13,76.5,11,64.7,0,0.0,4,23.5,61.0,57,93.4,53,86.9,20,32.8,3,4.9
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2012,17.0,10,58.8,9,52.9,0,0.0,6,35.3,49.0,40,81.6,37,75.5,11,22.4,8,16.3
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2011,18.0,14,77.8,8,44.4,0,0.0,2,11.1,64.0,54,84.4,50,78.1,13,20.3,6,9.4
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2010,15.0,11,73.3,7,46.7,1,6.7,2,13.3,56.0,45,80.4,39,69.6,2,3.6,9,16.1
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2009,24.0,16,66.7,8,33.3,0,0.0,2,8.3,64.0,49,76.6,42,65.6,6,9.4,7,10.9
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2008,20.0,8,40.0,5,25.0,0,0.0,3,15.0,100.0,72,72.0,70,70.0,10,10.0,6,6.0
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2007,42.0,16,38.1,6,14.3,1,2.4,12,28.6,108.0,83,76.9,71,65.7,16,14.8,5,4.6
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2006,25.0,5,20.0,2,8.0,1,4.0,5,20.0,99.0,48,48.5,40,40.4,7,7.1,15,15.2
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2005,22.0,7,31.8,1,4.5,0,0.0,2,9.1,99.0,57,57.6,34,34.3,4,4.0,9,9.1
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2004,19.0,9,47.4,2,10.5,0,0.0,1,5.3,93.0,66,71.0,34,36.6,6,6.5,3,3.2
01M448,UNIVERSITY NEIGHBORHOOD HIGH SCHOOL,2003,8.0,4,50.0,0,0.0,0,0.0,4,50.0,79.0,63,79.7,39,49.4,11,13.9,7,8.9
